Alternative,Argentina,Australia,Armenia,Brazil,Chile,China,Colombia,Ecuador,Germany,Ghana,Haiti,Hong Kong,India,Japan,South Korea,Libya,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Qatar,Singapore,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Completely disagree,"14,1","22,5","17,6","27,2","8,4","21,4","13,3","8,2","21,4","13,3","12,1","14,8","10,7","15,7","8,2","41,4","16,9","13,7",12,"14,6","15,4","23,5","50,2","8,9","5,3","18,2",8,"16,7","16,5","18,1","17,9"
2,"5,9","12,5","5,9","7,3","5,9","13,6","8,1","7,5",13,"5,5","8,5","10,9","7,8","9,9","8,4","7,4","12,1","10,1","6,1","6,9","2,2",9,8,11,"2,3","9,1","5,3","6,7","6,3","8,2","8,6"
3,8,"13,2","7,7","6,8","7,8","15,3","8,5","8,7","15,8","10,2","8,9","15,1",11,"17,3","14,7","4,6",15,"12,7","6,6","10,8","4,8","11,7","4,4","14,3","4,1","14,1","9,8","6,1","9,8","9,1","12,6"
4,"9,4","7,6","6,9","5,8","8,6","6,4","9,4","9,7","7,9",12,"8,3","10,4","11,7",11,"11,2","4,7",11,10,"5,9","8,8","6,7","7,9",3,"10,4","6,6","7,8","8,4","5,3","10,4","5,5","9,5"
5,"13,2","15,1","15,4","13,4","19,2","5,1",14,"15,1","15,1","10,8",14,"15,9","15,4","12,8","24,7","8,8","17,8","15,9","8,7","16,4","21,1","10,7","6,4","19,7","14,1","16,5","20,6",13,"14,2",13,"17,7"
6,"9,7","7,4","5,3",7,"10,2","3,7",10,"14,1","6,3","9,2","9,1","9,4","10,3","5,6","9,9","5,2","10,4","8,6","6,3","8,8",10,7,5,"12,4","15,4","7,1",9,"9,2","9,8","11,7","9,6"
7,"11,4",5,5,"5,8","11,2","4,2",10,"9,5","5,9","11,5","7,2","8,4",10,"3,1",8,"4,5","7,3","8,1","7,8","8,6","8,2","5,6","4,4","10,2","17,3","7,8","11,3","10,3","6,8","9,4","7,9"
8,"11,6","6,4","7,6","5,3",8,"4,5","11,9","11,3","5,9","14,4","7,7","6,7","7,8","3,4","7,1","3,6","5,2","10,8","15,9","6,9","7,1","7,5","5,5","8,2","15,1","8,3","11,2","12,7","8,8","12,8","6,1"
9,"7,2","3,4","3,7","3,1","5,8","2,2","5,2","7,4","2,3","6,7","9,8",3,"4,6","1,3","2,9","2,7","1,9","3,3","14,4","4,3",3,"3,1","4,8","2,2","6,5","2,9","6,9","5,7","6,4","3,6","3,3"
Completely agree,"5,3","5,6","16,1","15,1","8,6","1,4","8,3","8,2","4,5","6,5","11,6","5,1","8,8",2,"3,4",13,"1,8",4,"13,4","6,1",21,"10,2","8,2","2,6","10,4","6,2","8,5","10,5","10,9","8,6","3,6"
