Alternative,Australia,Brazil,Chile,China,Colombia,Ghana,India,Japan,South Korea,Peru,Poland,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Completely disagree,"2,4","5,9","4,2","1,1","4,8","2,6","1,7","0,9","2,2","5,2","2,6","4,2",2,"1,3","1,1",2,"2,3","1,7"
2,"1,1","2,1",3,"0,8","2,4",2,0,"0,5","2,1","3,7","1,3","1,4","0,6","0,4","0,4","0,9","0,8",2
3,"3,7","4,7","4,3","0,8","2,4","1,6",0,"3,1","4,3","5,1",4,"2,2","3,1","2,3","0,5","3,1",2,2
4,"4,9","4,9","5,9","1,2",3,1,"7,4","3,6","6,5","5,6","4,6","3,1","5,2","3,7","0,7","5,3","2,5","5,2"
5,"17,6","14,7","19,1","4,9","11,1","1,6",0,"12,1","17,4","15,4","15,7",9,"15,9","15,3",4,"10,9","10,3","17,9"
6,"10,8","9,5","10,8","7,5","5,8","3,6",0,"25,4","8,6","12,1","10,3","6,7","13,5","19,5","5,3","11,8","5,3","9,8"
7,"17,3",12,"10,3","7,2",12,10,"36,6","18,8","16,3","13,7","14,9","10,1","20,9","25,6","12,7","12,1","9,5","20,1"
8,"18,3","16,3","11,7","21,1","16,4","20,3",0,"16,3","18,8","11,6","18,9","14,6","21,4","14,1","21,4",17,13,"17,6"
9,"8,9","8,6","5,9","16,9","12,5","20,7",0,"5,7","9,4","4,8","6,8",14,"9,3","6,8","8,4","12,4",16,"10,2"
Completely agree,"13,7","20,1","21,6",29,29,"35,8","34,7","5,3","14,5","17,3","17,1","28,5","7,3","10,7","42,7","17,8","37,3","11,1"
