Alternative,Argentina,Australia,Armenia,Brazil,Chile,China,Colombia,Ecuador,Germany,Ghana,Haiti,Hong Kong,India,Japan,South Korea,Libya,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Qatar,Singapore,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Completely disagree,"4,8","1,5","2,3","7,3","2,3","0,6","4,6",3,"0,7","0,9",10,"2,1","2,1","0,3",1,"1,9","0,8","1,7","3,3","3,8","6,6","3,8","1,8","0,5","1,1","2,2","2,3","1,7",1,0,"1,7"
2,"2,3","1,1","1,6","2,3","2,6","0,5","2,6","2,7",1,"1,1","6,2","1,7","0,6","0,6","1,3","0,2","0,5",1,"1,2","2,8","1,8","1,6","0,3","0,3","0,3",1,"2,3","0,5","0,6","0,1",1
3,"4,3","4,1","1,2","2,7","3,4",1,4,"4,2","2,1","1,2","5,8","3,3","1,2","1,4","1,7","0,5","1,3","2,7","2,4","4,3","2,5","3,2","0,1","1,4","1,3","1,9","2,8","2,3","2,3","0,2","1,7"
4,"2,7","4,7","2,1","3,7","6,1","0,7","5,6",4,"2,9","2,7",7,"3,6","3,3","2,5","2,7",1,"2,4","4,5","5,6","5,7","3,6","2,7","0,8","2,3","4,1","3,4","4,8","2,9","3,2","0,5","2,7"
5,"8,9","12,6","10,3","15,3","14,5","2,2","11,4",9,"12,3","8,1","10,6","11,6","10,5","9,3","13,7","2,9","11,3","15,7","4,6","12,9","11,8","10,2","4,3","10,8","10,7","12,2","16,8","7,2","10,5","3,6",13
6,"8,2","6,7","5,3","7,7","8,3",3,"9,8","12,1",10,"9,5","8,6","8,6","12,2","8,8","8,3","2,5","11,1","12,7","3,4","9,3",13,"6,8","5,4",10,13,"6,4","11,7","5,9","8,9","5,3","11,1"
7,"13,6","10,8","9,8","8,1","11,9","10,8","11,6","12,3","16,2","17,6","9,9",15,"16,3","14,6","16,8","5,8",18,"20,6","5,4","10,4","8,1","7,9","6,4","15,5","16,4","11,9","15,7",13,11,"12,1","17,4"
8,"20,6","20,1","16,2","13,1","14,3","20,4","19,1","19,6","23,9","22,9",9,"23,1",18,"23,1","22,5","5,8","30,2","22,6","12,6","14,9","10,3","16,6","9,3","26,8","21,4",23,"18,3","22,2","18,2",25,"23,7"
9,"13,7",12,"9,1","5,8","10,4","18,2","10,4","17,7","10,3","14,2","7,8",11,"11,8",12,"12,6","9,5","10,5","6,9","22,7","10,8","7,7","9,5","12,7","14,8","9,6","10,2","7,7",10,"14,4","16,9","12,2"
Completely agree,"17,2","25,3","36,4","30,7","20,5","23,6","20,2","15,2","19,6","21,6","22,2","19,8","22,1","13,1","18,9","67,8","13,2","9,8","37,6","19,3","33,9","35,1","58,6","17,7","19,1","25,4","15,9","31,4","29,8","36,2","12,6"
